0,1468147072,Mon Apr 06 23:58:31 PDT 2009,NO_QUERY,earthcrew,damn its down. ,0,0
0,1548751213,Fri Apr 17 21:51:55 PDT 2009,NO_QUERY,jesykalynn927,left work early tonight because I am sick. ,0,0
4,2191921636,Tue Jun 16 06:12:19 PDT 2009,NO_QUERY,SamP0rtillo,Off o work ,4,1
0,1468446153,Tue Apr 07 01:43:10 PDT 2009,NO_QUERY,Nick_heads,I cant give up smoking... I tried but it's not easy.. ,0,0
0,1548516796,Fri Apr 17 21:10:22 PDT 2009,NO_QUERY,jeffreyowens,I am suddenly ill when I planned to go to a film. I wish someone would bring me soymilk to fill my empty ensickened belly. ,0,0
4,2192162206,Tue Jun 16 06:36:34 PDT 2009,NO_QUERY,AfterDarkMag,@StudioWeekend I think your logo is my new favourite  What do you guys get up to in Chelt when you're not making pretty things?,4,1
4,2192464670,Tue Jun 16 07:04:40 PDT 2009,NO_QUERY,harrymetsally86,@MissRooWoods Zachary Quinto is tasty! x ,4,1
0,1550682238,Sat Apr 18 06:55:54 PDT 2009,NO_QUERY,Michaelmerri,Ugh!! Why is it blizzarding in Colorado????!!! Won't be seeing my parents this weekend  their plane got cancelled!,0,0
4,2191513863,Tue Jun 16 05:26:03 PDT 2009,NO_QUERY,Kennyzimlinghau,Kim Kardashian just told me she likes my voice.  Hello ego! its going to be a good day.  I'm in love ,4,1
0,1470185287,Tue Apr 07 08:36:06 PDT 2009,NO_QUERY,Turn2Grey,"@thunderday SNOW?  OMG, that's insane.  I'm sorry ",0,0
0,1548726337,Fri Apr 17 21:47:07 PDT 2009,NO_QUERY,petespencer,"some of the people on the show The Cougar are younger than me,  am i old? lol,",0,0
4,2191341028,Tue Jun 16 05:04:14 PDT 2009,NO_QUERY,spikezezel,Good Morning!!  Still having certain people following me that I keep blocking- hoping changing the pic will help?  Off to check FB.. ,4,1
0,1548304302,Fri Apr 17 20:35:14 PDT 2009,NO_QUERY,nettefrawl,@ihenpecked leakage huh? I'm afraid I missed something good.  But my head hurts to bad to care...  bummer,0,0
4,2191630764,Tue Jun 16 05:40:10 PDT 2009,NO_QUERY,brlittle,"@AngelEyezL Ouch. Snark, much? ",4,1
4,2193178935,Tue Jun 16 08:06:12 PDT 2009,NO_QUERY,jamiesmart,"have been walking round brighton in the sun  i genuinely don't think anyone in brighton works, everyone's flopping around all chilled out.",4,1
0,1469579273,Tue Apr 07 06:48:21 PDT 2009,NO_QUERY,katiebadgerr,wants the rain to stop ,0,0
4,2192958782,Tue Jun 16 07:47:52 PDT 2009,NO_QUERY,hannaeb,"@biznic Hey Nicole, I'll have Duncan send you some references, so you can talk to some MemberClicks clients ",4,1
4,2192463753,Tue Jun 16 07:04:35 PDT 2009,NO_QUERY,Propaganda2,@meaningoftruth @chrys73 ahhahah u 2 are exaggerated ,4,1
0,1548346293,Fri Apr 17 20:42:04 PDT 2009,NO_QUERY,thekris,@OrientalDrivah  i thought your hair was like mine.,0,0
4,2192082557,Tue Jun 16 06:28:47 PDT 2009,NO_QUERY,mikefoong,@moonstarlady ah... cool... it would be a good little time off on your own.  Sight Seeing?,4,1
4,2192203726,Tue Jun 16 06:40:37 PDT 2009,NO_QUERY,AriT93,you know if you use 4-5 spoonfuls of instant coffee it's a bit strong tasting but there really is quite a boost ,4,1
0,1469414084,Tue Apr 07 06:18:26 PDT 2009,NO_QUERY,Cookies_Cream,doesnt want to wait all the way until 4pm tomorrow to listen to hamish and andy!! ,0,0
4,2192769186,Tue Jun 16 07:31:23 PDT 2009,NO_QUERY,PleaseSeeUs,@bbmcgb and those guys normally r slightly overweight too!  think about his funny sunburn tho! ;),4,1
0,1470237703,Tue Apr 07 08:45:31 PDT 2009,NO_QUERY,helloangel_xo,@bobbryar i miss your posts dude  xo,0,0
0,1468743735,Tue Apr 07 03:29:44 PDT 2009,NO_QUERY,shakeandbake32,Actually my phone was supposed to be on silent but it chose not to be  Dumb phone,0,0
4,2191530025,Tue Jun 16 05:28:04 PDT 2009,NO_QUERY,eatingbiscuits,I am looking forward to ML training next week ,4,1
4,2191389926,Tue Jun 16 05:10:23 PDT 2009,NO_QUERY,mom2twinsplus1,"@tjpip yep, it was early, especially for me! But I wanted to be sure to say goodbye to her ",4,1
0,1469331841,Tue Apr 07 06:02:33 PDT 2009,NO_QUERY,frankramblings,@tharensolo i'm so sorry. that's really not fair at all. ,0,0
4,2192812990,Tue Jun 16 07:35:10 PDT 2009,NO_QUERY,moodyje2,@haiimegan as you very well should be ,4,1
0,1468819207,Tue Apr 07 03:54:06 PDT 2009,NO_QUERY,lazygiraffe,"@raspberry I am trying only to spend if I have paypal funds, which I don't right now.  Plus cat might need to go the vet again this week.",0,0
4,2192513647,Tue Jun 16 07:08:58 PDT 2009,NO_QUERY,ConversationAge,"@JoeRaimondo thank you for arguing  Perhaps the point @herdmeister was making is also humanity, a return to...",4,1
4,2192516684,Tue Jun 16 07:09:14 PDT 2009,NO_QUERY,AnggaPatria,@TFranky  yeaah ! LOL Con artist in a good way perhaps ;) i just like the how they treat &quot;the unconscious&quot; minds of the victim ...,4,1
4,2191567058,Tue Jun 16 05:32:31 PDT 2009,NO_QUERY,jesssima,@OfficialTL TEAM JACOB ,4,1
4,2192018897,Tue Jun 16 06:22:20 PDT 2009,NO_QUERY,aplonea,is smiling politely ,4,1
4,2192250522,Tue Jun 16 06:45:00 PDT 2009,NO_QUERY,_radioactivity,"rb@Inge_FS: &quot;oh, haven't blipped this for so long. my favorite remix - still &quot; Never heard before...  â« http://blip.fm/~8bf4y",4,1
